t,y
0.000000000000000000e+00,0.000000000000000000e+00
2.267573696145124763e-05,1.493440677140522643e+00
4.535147392290249526e-05,2.850532529049471631e+00
6.802721088435373950e-05,3.947375167468094137e+00
9.070294784580499052e-05,4.683828555030710383e+00
1.133786848072562415e-04,4.992655635877666143e+00
1.360544217687074790e-04,4.845660974918898134e+00
1.587301587301587300e-04,4.256264957472565946e+00
1.814058956916099810e-04,3.278278528831017891e+00
2.040816326530612321e-04,2.000990338137664359e+00
2.267573696145124831e-04,5.410148227444170344e-01
2.494331065759637341e-04,-9.683545096535401964e-01
2.721088435374149580e-04,-2.389314572222473565e+00
2.947845804988662361e-04,-3.592133907799170522e+00
3.174603174603174600e-04,-4.466996970388374955e+00
3.401360544217687382e-04,-4.934030114757038454e+00
3.628117913832199621e-04,-4.950593936773750592e+00
3.854875283446711860e-04,-4.515176185093086936e+00
4.081632653061224641e-04,-3.667529827365759942e+00
4.308390022675736880e-04,-2.485043665743081220e+00
4.535147392290249662e-04,-1.075676858869734520e+00
4.761904761904761901e-04,4.318975824149730025e-01
4.988662131519274682e-04,1.900040442061375678e+00
5.215419501133787463e-04,3.194712546469220538e+00
5.442176870748299160e-04,4.197712333836872922e+00
5.668934240362811941e-04,4.817467474035398212e+00
5.895691609977324723e-04,4.997395280794927785e+00
6.122448979591836420e-04,4.721068623494431016e+00
6.349206349206349201e-04,4.013715698793996367e+00
6.575963718820861982e-04,2.939916735278064852e+00
6.802721088435374763e-04,1.597707918415074868e+00
7.029478458049886460e-04,1.096308383706017103e-01
7.256235827664399242e-04,-1.388455367747499780e+00
7.482993197278912023e-04,-2.759777745093164647e+00
7.709750566893423720e-04,-3.879136680433086681e+00
7.936507936507936501e-04,-4.644336433298851929e+00
8.163265306122449282e-04,-4.985515449115335507e+00
8.390022675736962064e-04,-4.871524611140047867e+00
8.616780045351473761e-04,-4.312771106670751031e+00
8.843537414965986542e-04,-3.360268266932806558e+00
9.070294784580499323e-04,-2.100978128795794486e+00
9.297052154195011020e-04,-6.498719352349875411e-01
9.523809523809523801e-04,8.605665614273516617e-01
9.750566893424036582e-04,2.292436661312895918e+00
9.977324263038549364e-04,3.515010837716368464e+00
1.020408163265306214e-03,4.416669958212486868e+00
1.043083900226757493e-03,4.915093938903182469e+00
1.065759637188208554e-03,4.964777440825457688e+00
1.088435374149659832e-03,4.561184437055586294e+00
1.111111111111111110e-03,3.741162344955382579e+00
1.133786848072562388e-03,2.579577913926548227e+00
1.156462585034013666e-03,1.182482006920892559e+00
1.179138321995464945e-03,-3.225726794116096086e-01
1.201814058956916223e-03,-1.798176978753314392e+00
1.224489795918367284e-03,-3.109610499593835620e+00
1.247165532879818562e-03,-4.137141388721420121e+00
1.269841269841269840e-03,-4.786957664337089469e+00
1.292517006802721118e-03,-4.999732104976529534e+00
1.315192743764172396e-03,-4.756038733120470319e+00
1.337868480725623675e-03,-4.078126376913128404e+00
1.360544217687074953e-03,-3.027887386545367487e+00
1.383219954648526014e-03,-1.701206958356713761e+00
1.405895691609977292e-03,-2.192089646308132134e-01
1.428571428571428570e-03,1.282802468708131860e+00
1.451247165532879848e-03,2.667696019636500271e+00
1.473922902494331126e-03,3.809033047751505308e+00
1.496598639455782405e-03,4.602611246688538493e+00
1.519274376417233683e-03,4.975978153614154742e+00
1.541950113378684744e-03,4.895045947084312843e+00
1.564625850340136022e-03,4.367203612448516736e+00
1.587301587301587300e-03,3.440642338909444931e+00
1.609977324263038578e-03,2.199955738443738706e+00
1.632653061224489856e-03,7.584165797950083165e-01
1.655328798185941135e-03,-7.523648402130372892e-01
1.678004535147392413e-03,-2.194456513330713676e+00
1.700680272108843474e-03,-3.436197699017339069e+00
1.723356009070294752e-03,-4.364219346528870780e+00
1.746031746031746030e-03,-4.893794514002468787e+00
